Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,DZA,Algeria,,17.579757,-3.998823,32697,742,,31955,,,False,False,ML
2022-06-27,DZA,Algeria,,38.961515,35.25175,15085742,98996,,14986746,,,False,False,TU
2022-10-10,DZA,Algeria,,31.276778,37.130583,1746997,14122,,1732875,,,False,False,JO
2022-10-10,DZA,Algeria,,50.499527,4.475402,4566207,32716,,4533491,,,False,False,BE
2022-10-10,DZA,Algeria,,15.45847,30.217636,63344,4962,,58382,,,False,False,SD
2022-10-10,DZA,Algeria,,40.066181,45.111108,443785,8691,,435094,,,False,False,AM
2022-10-10,DZA,Algeria,,46.145528,14.974542,1202609,8315,,1194294,,,False,False,SI
2022-10-10,DZA,Algeria,,28.395056,84.127803,999911,12018,,987893,,,False,False,NP
2022-10-10,DZA,Algeria,,21.527062,-79.544601,1111224,8530,,1102694,,,False,False,CU
2022-10-10,DZA,Algeria,,,,3430,13,,3417,,,False,False,
2022-10-10,DZA,Algeria,,7.874097,80.767098,670869,16768,,654101,,,False,False,LK
2022-10-10,DZA,Algeria,,-9.181352,-75.002365,4146858,216637,,3930221,,,False,False,PE
2022-10-10,DZA,Algeria,,-18.777193,46.854328,66684,1410,,65274,,,False,False,MG
2022-10-10,DZA,Algeria,,33.930445,67.678945,200412,7806,,192606,,,False,False,AF
2022-10-10,DZA,Algeria,,1.633925,10.341295,16943,183,,16760,,,False,False,GQ
2022-10-10,DZA,Algeria,,0.863044,6.968272,6236,77,,6159,,,False,False,ST
2022-10-10,DZA,Algeria,,18.036736,-64.801704,23198,123,,23075,,,False,False,VI
2022-10-10,DZA,Algeria,,-26.853388,133.275155,10266007,14853,,10251154,,,False,False,AU
2022-10-10,DZA,Algeria,,21.00681,-10.947098,62869,995,,61874,,,False,False,MR
2022-10-10,DZA,Algeria,,33.872639,35.876736,1216638,10684,,1205954,,,False,False,LB
2022-10-10,DZA,Algeria,,-13.151917,27.852537,333555,4017,,329538,,,False,False,ZM
2022-10-10,DZA,Algeria,,47.697542,13.349319,5252058,20824,,5231234,,,False,False,AT
2022-10-10,DZA,Algeria,,12.881958,121.766541,3967861,63264,,3904597,,,False,False,PH
2022-10-10,DZA,Algeria,,44.206802,20.911009,2377762,17086,,2360676,,,False,False,RS
2022-10-10,DZA,Algeria,,9.084575,8.674252,265816,3155,,262661,,,False,False,NG
2022-10-10,DZA,Algeria,,12.209209,-68.945576,45390,287,,45103,,,False,False,CW
2022-10-10,DZA,Algeria,,64.583013,17.86411,1462809,4121,,1458688,,,False,False,NO
2022-10-10,DZA,Algeria,,-36.711951,-73.601704,4642033,61268,,4580765,,,False,False,CL
2022-10-10,DZA,Algeria,,,,15942,29,,15913,,,False,False,WS
2022-10-10,DZA,Algeria,,48.665639,19.709097,1847301,20481,,1826820,,,False,False,SK
2022-10-10,DZA,Algeria,,17.192929,-88.5009,68884,686,,68198,,,False,False,BZ
2022-10-10,DZA,Algeria,,-2.518722,118.015568,6446143,158219,,6287924,,,False,False,ID
2022-10-10,DZA,Algeria,,7.365302,12.34344,121652,1935,,119717,,,False,False,CM
